"Code ID";"COLEÇÃO 10 - CLASSES";"COLLECTION 10 - CLASSES";"Hexacode Number"
1;"1. Floresta";"1. Forest";"#1f8d49"
3;"1.1 Formação Florestal";"1.1. Forest Formation";"#1f8d49"
4;"1.2. Formação Savânica";"1.2. Savanna Formation";"#7dc975"
5;"1.3. Mangue";"1.3. Mangrove";"#04381d"
6;"1.4. Floresta Alagável";"1.4 Floodable Forest";"#007785"
49;"1.5. Restinga Arbórea";"1.5. Wooded Sandbank Vegetation";"#02d659"
10;"2. Vegetação Herbácea e Arbustiva";"2. Herbaceous and Shrubby Vegetation";"#d6bc74"
11;"2.1. Campo Alagado e Área Pantanosa";"2.1. Wetland";"#519799"
12;"2.2. Formação Campestre";"2.2. Grassland";"#d6bc74"
32;"2.3. Apicum";"2.3. Hypersaline Tidal Flat";"#fc8114"
29;"2.4. Afloramento Rochoso";"2.4. Rocky Outcrop";"#ffaa5f"
50;"2.5. Restinga Herbácea";"2.5. Herbaceous Sandbank Vegetation";"#ad5100"
14;"3. Agropecuária";"3. Farming";"#ffefc3"
15;"3.1. Pastagem";"3.1. Pasture";"#edde8e"
18;"3.2. Agricultura";"3.2. Agriculture";"#E974ED"
19;"3.2.1. Lavoura Temporária";"3.2.1. Temporary Crop";"#C27BA0"
39;"3.2.1.1. Soja";"3.2.1.1. Soybean";"#f5b3c8"
20;"3.2.1.2. Cana";"3.2.1.2. Sugar cane";"#db7093"
40;"3.2.1.3. Arroz";"3.2.1.3. Rice";"#c71585"
62;"3.2.1.4. Algodão (beta)";"3.2.1.4. Cotton (beta)";"#ff69b4"
41;"3.2.1.5. Outras Lavouras Temporárias";"3.2.1.5. Other Temporary Crops";"#f54ca9"
36;"3.2.2. Lavoura Perene";"3.2.2. Perennial Crop";"#d082de"
46;"3.2.2.1. Café";"3.2.2.1. Coffee";"#d68fe2"
47;"3.2.2.2. Citrus";"3.2.2.2. Citrus";"#9932cc"
35;"3.2.2.3. Dendê";"3.2.2.3. Palm Oil";"#9065d0"
48;"3.2.2.4. Outras Lavouras Perenes";"3.2.2.4. Other Perennial Crops";"#e6ccff"
9;"3.3. Silvicultura";"3.3. Forest Plantation";"#7a5900"
21;"3.4. Mosaico de Usos";"3.4. Mosaic of Uses";"#ffefc3"
22;"4. Área não Vegetada";"4. Non vegetated area";"#d4271e"
23;"4.1. Praia, Duna e Areal";"4.1. Beach, Dune and Sand Spot";"#ffa07a"
24;"4.2. Área Urbanizada";"4.2. Urban Area";"#d4271e"
30;"4.3. Mineração";"4.3. Mining";"#9c0027"
75;"4.4. Usina Fotovoltaica (beta)";"4.4 Photovoltaic Power Plant (beta)";"#c12100"
25;"4.5. Outras Áreas não Vegetadas";"4.5. Other non Vegetated Areas";"#db4d4f"
26;"5. Corpo D'água";"5. Water";"#2532e4"
33;"5.1 Rio, Lago e Oceano";"5.1. River, Lake and Ocean";"#2532e4"
31;"5.2 Aquicultura";"5.2. Aquaculture";"#091077"
27;"6. Não observado";"6. Not Observed";"#ffffff"